Rank,Collection,contract_address,collection_name,name,owner_address
20,goblintown.wtf,0x8c6def540b83471664edc6d5cf75883986932674,goblintownwtf,goblintown.wtf,0x62ac2dbbd306610ff8652b9e0d1a310b6c6afa0f
21,HAPE PRIME,0x4db1f25d3d98600140dfc18deb7515be5bd293af,hapeprime,HAPE PRIME,0x9d2fa0c2953a1d71d92134a8142f793423a8357b
22,Invisible Friends,0x59468516a8259058bad1ca5f8f4bff190d30e066,invisiblefriends,Invisible Friends,0xd7e5e1c0cb9540669d8f22f71c9540460db23938
23,MekaVerse,0xc0fcd1d76ad9b30523ee6e34038367cdef1719da,mekaverse-11,MekaVerse,0x0000000000000000000000000000000000000000
23,MekaVerse,0x9a534628b4062e123ce7ee2222ec20b86e16ca8f,mekaverse,MekaVerse,0xd11277d411f138a67dc44b1fcd8a48c447d753e4
24,Murakami.Flowers Seed,0x341a1c534248966c4b6afad165b98daed4b964ef,murakami-flowers-seed,Murakami.Flowers Seed,0xf50fbf46fd6ec8609c1219bbabf00539836f1a34
25,Memeland Potatoz,0x39ee2c7b3cb80254225884ca001f57118c8f21b6,memelandpotatoz,Memeland Potatoz,0x1c593c369136264abfb908b4b20e74c9a5949417
26,FLUF World,0xccc441ac31f02cd96c153db6fd5fe0a2f4e6a68d,fluf,FLUF World,0x7ff67da40beb9205a3c1842fbc7012451da96fff
27,PXN: Ghost Division,0x160c404b2b49cbc3240055ceaee026df1e8497a0,pxnghostdivision,PXN: Ghost Division,0x3143cd41b70b6a21538e20b7012a0757186d1afe
28,Karafuru,0xd2f668a8461d6761115daf8aeb3cdf5f40c532c6,karafuru,Karafuru,0x9a86c0b064171007716bbd6af96676935799a63e
29,Nakamigos,0xd774557b647330c91bf44cfeab205095f7e6c367,nakamigos,Nakamigos,0xbaa4b7858c3277da9cb9cdadf405f2017afea19a
30,Creepz by OVERLORD,0x5946aeaab44e65eb370ffaa6a7ef2218cff9b47d,genesis-creepz,Creepz by OVERLORD,0x23692d965d700be09fe8805b48c98123b1718d34
31,Hashmasks,0xc2c747e0f7004f9e8817db2ca4997657a7746928,hashmasks,Hashmasks,0x2d2502becc9b6e01220ca3101e52cf1a76e16c39
32,Moonbirds Oddities,0x1792a96e5668ad7c167ab804a100ce42395ce54d,moonbirds-oddities,Moonbirds Oddities,0x70c71b539bdcb5b59edd42a500fd95bdec962650
33,CryptoPunks V1 (wrapped),0x282bdd42f4eb70e7a9d9f40c8fea0825b7f68c5d,official-v1-punks,CryptoPunks V1 (wrapped),0xf40fd88ac59a206d009a07f8c09828a01e2acc0d
34,CyberBrokers,0x892848074ddea461a15f337250da3ce55580ca85,cyberbrokers,CyberBrokers,0x070cbef6414f8f0070a98051658bef840bcd86de
35,3Landers,0x3248e8ba90facc4fdd3814518c14f8cc4d980e4b,3landers,3Landers,0xbdd7efd925980cd07a6654227647ce244aca8021
36,PhantaBear,0x67d9417c9c3c250f61a83c7e8658dac487b56b09,phantabear,PhantaBear,0xc5b30ee4b4e687adca5338ab3f2c3b7862908bf8
37,CyberKongz VX,0x7ea3cca10668b8346aec0bf1844a49e995527c8b,cyberkongz-vx,CyberKongz VX,0x5973955ff9a77b4be34f7040fa965894deec6767
